"ID","Dialogue","Character","Actor","Movie","Year"
"123","Bajirao ne Mastani se mohabbat ki hai, aiyashi nahi.","Bajirao","Ranveer Singh","Bajirao Mastani","2015"
"124","Aapne dil maanga hota toh de dete, aapne toh hamara guroor hi maang liya.","Mastani","Deepika Padukone","Bajirao Mastani","2015"
"125","Kashibai ki jaan nikale toh bhi aapki dhadkan mein Kashi ka naam dhadkega.","Kashibai","Priyanka Chopra","Bajirao Mastani","2015"
"126","Cheete ki chaal, baaz ki nazar, aur Bajirao ki talwar par sandeh nahi karte.","Bajirao","Ranveer Singh","Bajirao Mastani","2015"
"127","Kya Sharma ji, hum thode bewafa kya hue, aap toh badchalan hi ho gaye.","Datto","Kangana Ranaut","Tanu Weds Manu Returns","2015"
"128","Adrak ho gaya hai ye aadmi, kahin se bhi badh raha hai.","Pappi","Deepak Dobriyal","Tanu Weds Manu Returns","2015"
"129","Ek din main bilkul theek ho jaunga.","Ved","Ranbir Kapoor","Tamasha","2015"
"130","Bachpan se hi acting ka shauk hai.","Ved","Ranbir Kapoor","Tamasha","2015"
"131","Death aur shit... ye do cheezein kisi ko bhi, kahin bhi, kabhi bhi aa sakti hain.","Rana","Irrfan Khan","Piku","2015"
"132","Insaan ka emotion uska motion ke saath juda hua hai.","Bhaskor Banerjee","Amitabh Bachchan","Piku","2015"
"133","Mhari chhoriyan chhoron se kam hain ke?","Mahavir Singh Phogat","Aamir Khan","Dangal","2016"
"134","Medal ped pe nahi ughte, unhe banana padta hai...","Mahavir Singh Phogat","Aamir Khan","Dangal","2016"
"135","Gold toh gold hota hai, chhora laave ya chhori.","Mahavir Singh Phogat","Aamir Khan","Dangal","2016"
"136","Sultan ko sirf ek hi aadmi hara sakta hai, aur woh hai Sultan khud.","Sultan","Salman Khan","Sultan","2016"
"137","Asli pehlwaan ki pehchaan akhade mein nahi, zindagi mein hoti hai.","Sultan","Salman Khan","Sultan","2016"
"138","'No' is a complete sentence.","Deepak Sehgal","Amitabh Bachchan","Pink","2016"
"139","Ek tarfa pyaar ki taqat hi kuch aur hoti hai... uspar kisi aur ka haq nahi hota.","Ayan","Ranbir Kapoor","Ae Dil Hai Mushkil","2016"
"140","Pyar dosti hai.","Ayan","Ranbir Kapoor","Ae Dil Hai Mushkil","2016"
"141","Don't let the past blackmail your present to ruin a beautiful future.","Dr. Jehangir Khan","Shah Rukh Khan","Dear Zindagi","2016"
"142","Hum itni kursiyan dekhte hain kharidne se pehle, toh life partner choose karne se pehle options kyun nahi?","Dr. Jehangir Khan","Shah Rukh Khan","Dear Zindagi","2016"
"143","Ammi jaan kehti thi, koi dhanda chhota nahi hota aur dhande se bada koi dharam nahi hota.","Raees","Shah Rukh Khan","Raees","2017"
"144","Baniye ka dimaag aur miyanbhai ki daring.","Raees","Shah Rukh Khan","Raees","2017"
"145","Agar dhanda shanti se chal raha ho toh use chhedne ka nahi.","Raees","Shah Rukh Khan","Raees","2017"
"146","Pyar ka hisaab maths ke isoolon par nahi chalta.","Badrinath","Varun Dhawan","Badrinath Ki Dulhania","2017"
"147","Aashiqon ne toh aashiqui mein Taj Mahal bana diya, hum ek sandas na bana sake.","Keshav","Akshay Kumar","Toilet: Ek Prem Katha","2017"
"148","Shikaar toh sab karte hain, lekin Tiger se behtar shikaar koi nahi karta.","Tiger","Salman Khan","Tiger Zinda Hai","2017"
"149","My life is Hindi, but my wife is English.","Raj","Irrfan Khan","Hindi Medium","2017"
"150","Rajputi kangan mein utni hi taqat hai jitni Rajputi talwar mein.","Padmavati","Deepika Padukone","Padmaavat","2018"
"151","Keh dijiye apne sultan se, unki talwar se zyada dhar hamare tevar mein hai.","Maharawal Ratan Singh","Shahid Kapoor","Padmaavat","2018"
"152","Alauddin ke paas sabkuch hai, bas ek Rajput ka dil nahi hai.","Alauddin Khilji","Ranveer Singh","Padmaavat","2018"
"153","Jab Rajput apne desh, apni dharti ke liye ladta hai, toh maut bhi usse ghabrati hai.","Maharawal Ratan Singh","Shahid Kapoor","Padmaavat","2018"
"154","Ustaad, wo bahar log marne wale hain...","Sanju","Ranbir Kapoor","Sanju","2018"
"155","Mera beta badmash hai, par terrorist nahi.","Sunil Dutt","Paresh Rawal","Sanju","2018"
"156","Tiger hai tu Tiger... Roar!","Kamli","Vicky Kaushal","Sanju","2018"
"157","O Stree kal aana.","Vicky","Rajkummar Rao","Stree","2018"
"158","Wo stree hai, wo kuch bhi kar sakti hai.","Vicky","Rajkummar Rao","Stree","2018"
"159","Kuch cheezein aisi hoti hain, jo sirf andhe dekh sakte hain.","Akash","Ayushmann Khurrana","Andhadhun","2018"
"160","Bhaijaan, family ki baat alag hoti hai.","Nakul","Ayushmann Khurrana","Badhaai Ho","2018"
"161","Zindagi mein jab zero bada ho jaata hai, toh hero banne mein time nahi lagta.","Bauaa Singh","Shah Rukh Khan","Zero","2018"
"162","How's the josh? High Sir!","Major Vihaan","Vicky Kaushal","Uri: The Surgical Strike","2019"
"163","Yeh naya India hai. Yeh ghar mein ghusega bhi aur marega bhi.","Major Vihaan","Vicky Kaushal","Uri: The Surgical Strike","2019"
"164","Unhe Kashmir chahiye, aur hume unka sar.","Major Vihaan","Vicky Kaushal","Uri: The Surgical Strike","2019"
"165","Apna time aayega.","Murad","Ranveer Singh","Gully Boy","2019"
"166","Mere boyfriend se gulu gulu karegi toh dhoptungi na usko.","Safeena","Alia Bhatt","Gully Boy","2019"
"167","Tum agar sab kuch thik hone ka wait karoge, toh apni poori life ushi mein nikal jayegi.","MC Sher","Siddhant Chaturvedi","Gully Boy","2019"
"168","Preeti meri hai!","Kabir Singh","Shahid Kapoor","Kabir Singh","2019"
"169","I am not a rebel without a cause.","Kabir Singh","Shahid Kapoor","Kabir Singh","2019"
"170","Ab raja ka beta raja nahi banega, raja wahi banega jo haqdaar hoga.","Anand Kumar","Hrithik Roshan","Super 30","2019"
"171","Udaan toh bharni hi hai, chahe kitni baar bhi girna pade.","Anand Kumar","Hrithik Roshan","Super 30","2019"
"172","Ghar mein ghuske marunga.","Kabir","Hrithik Roshan","War","2019"
"173","Hum unhe Harijan bolte hain aur woh hume unka bhagwan samajhte hain.","Ayan Ranjan","Ayushmann Khurrana","Article 15","2019"
"174","Hum haar jeet, success failure mein itne ulajh gaye hain ki zindagi jeena bhool gaye hain.","Anni","Sushant Singh Rajput","Chhichhore","2019"
"175","Sachche dost woh hote hain jo tumhari beizzati mein bhi saath khade hote hain.","Sexa","Varun Sharma","Chhichhore","2019"
"176","Aapki wife ki report mein error nahi, terror hai.","Dr. Joshi","Adil Hussain","Good Newwz","2019"
"177","Har Maratha pagal hai, Swaraj ka, Shivaji Raje ka.","Tanhaji","Ajay Devgn","Tanhaji","2020"
"178","Ghamand nahi, garv hai mujhe apne Maratha hone par.","Tanhaji","Ajay Devgn","Tanhaji","2020"
"179","Ludo is life, life is Ludo.","Sattu Bhaiya","Pankaj Tripathi","Ludo","2020"
"180","Yeh dil maange more!","Vikram Batra","Sidharth Malhotra","Shershaah","2021"
"181","Ya toh Tiranga lehra ke aaunga, ya phir usmein lipat ke aaunga.","Vikram Batra","Sidharth Malhotra","Shershaah","2021"
"182","Yeh Mumbai police hai, inke nishane se aaj tak koi bach nahi paya hai.","Veer Sooryavanshi","Akshay Kumar","Sooryavanshi","2021"
"183","We are here to win.","Kapil Dev","Ranveer Singh","83","2021"
"184","Izzat se jeene ka, kisi se darne ka nahi.","Gangubai","Alia Bhatt","Gangubai Kathiawadi","2022"
"185","Gangu chaand thi, aur chaand hi rahegi.","Gangubai","Alia Bhatt","Gangubai Kathiawadi","2022"
"186","Kaun ho tum? Main aag hoon.","Shiva","Ranbir Kapoor","Brahmastra","2022"
"187","Kuch rishte aag aur dhuen jaise hote hain.","Isha","Alia Bhatt","Brahmastra","2022"
"188","Sach jhooth se zyada tikta nahi hai.","Vijay Salgaonkar","Ajay Devgn","Drishyam 2","2022"
"189","Party Pathaan ke ghar rakhoge toh mehmaannawazi ke liye Pathaan toh aayega.","Pathaan","Shah Rukh Khan","Pathaan","2023"
"190","Ek soldier ye nahi poochta ki desh ne uske liye kya kiya...","Pathaan","Shah Rukh Khan","Pathaan","2023"
"191","Bete ko haath lagane se pehle, baap se baat kar.","Vikram Rathore","Shah Rukh Khan","Jawan","2023"
"192","Jab main villain banta hoon, toh koi hero mere saamne tik nahi pata.","Vikram Rathore","Shah Rukh Khan","Jawan","2023"
"193","Chahiye toh Alia Bhatt, par umar mein thodi chhoti hai.","Vikram Rathore","Shah Rukh Khan","Jawan","2023"
"194","You are my father, and I am your son.","Ranvijay","Ranbir Kapoor","Animal","2023"
"195","Papa ko kuch mat bolna.","Ranvijay","Ranbir Kapoor","Animal","2023"
"196","My love for you is unconditional.","Ranvijay","Ranbir Kapoor","Animal","2023"
"197","Koi bhi apna ghar nahi chhodna chahta, jab tak ki uska ghar uska dushman na ban jaye.","Hardy","Shah Rukh Khan","Dunki","2023"
"198","Pyaar kiya toh darna kya, aur pyaar karke shaadi nahi karna toh kya karna?","Rocky","Ranveer Singh","Rocky Aur Rani Kii Prem Kahaani","2023"
"199","Tara Singh ko mat chhedna.","Tara Singh","Sunny Deol","Gadar 2","2023"
"200","Ghar aaja pardesi, tera des bulaye re... bajne de is baar.","Tara Singh","Sunny Deol","Gadar 2","2023"
